concept,ticket_id,title,type,status
Business Object,T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed
Business Object,T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed
Business Object,T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevE,InvalidCode,Archived
Business Object,T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localizatio,InsuffInfo,Archived
Business Object,T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,InvalidInfo,Closed
Business Object,T1295602,Soft Deletion (Deferred Object Deletion) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Do,InsuffCode,Closed
Business Object,T1293448,Describe new XAF0033 warning,NewFeatureIssue,Closed
Business Object,T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,InsuffInfo,Archived
Business Object,T1283433,[S ] Key Properties - EF Core string key property,InsuffInfo,Archived
Business Object,T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",InvalidInfo,Closed
Business Object,T1280134,Help topic misses links to XPO examples,InsuffInfo,Closed
Business Object,T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,InsuffCode,Archived
Business Logic,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
Business Logic,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
Business Logic,T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed
Business Logic,T1319293,Incorrect info about Standalone Model Editor in Blazor,InvalidInfo,Closed
Business Logic,T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed
Business Logic,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
Business Logic,T1317879,You have a new 'GitHub Examples  User Feedback' response.,PositiveFeedback,Closed
Business Logic,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
Business Logic,T1317104,"When is the function ""UpdateDatabaseAfterUpdateSchema"" invoked",InsuffInfo,Closed
Business Logic,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
Business Logic,T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",InvalidCode,Closed
Business Logic,T1315984,'Update Database Schema and Migrations in EF Core' has invalid info about Automatic Updates,InvalidInfo,Closed
Business Logic,T1315302,Need to rewrite code in the TreeList - Flat data source help topic,InsuffCode,Closed
Business Logic,T1314393,You have a new 'GitHub Examples  User Feedback' response.,UnusableFeedback,Closed
Business Logic,T1314301,Detrimental information - Calculate a Property Value Based on Values from a Detail Collection,HardToUnderstand,Closed
Business Logic,T1313736,Incorrect class name for TagBoxListPropertyEditor,InvalidInfo,Closed
Business Logic,T1311731,Custom EasyTest Commands | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffCode,Archived
Business Logic,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
Business Logic,T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived
Business Logic,T1309299,Readme of the 'sequential generator' example is outdated,NewFeatureIssue,Archived
Business Logic,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
Business Logic,T1308472,audit-trail-module-xpo doesn't reflect changes from BC about non-persistent properties,InvalidInfo,Closed
Business Logic,T1306647,Use the Security System - missing essential DbSets,InsuffInfo,Closed
Business Logic,T1306062,Create a Calculated Property - useless instruction,InvalidInfo,Closed
Business Logic,T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed
Business Logic,T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed
Business Logic,T1303785,View Variants (Switch Document Layouts) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,UnusableFeedback,Closed
