doc_id,title,doc_type,word_count,uid
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/GridListEditor.CustomizeAppearanceMode/ActiveEditor,ActiveEditor,Field,0,DevExpress.ExpressApp.Win.Editors.GridListEditor.CustomizeAppearanceMode.ActiveEditor
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/GridListEditor.CustomizeAppearanceMode/ColumnEdit,ColumnEdit,Field,0,DevExpress.ExpressApp.Win.Editors.GridListEditor.CustomizeAppearanceMode.ColumnEdit
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/GridListEditorNewItemRowHandlingMode/NativeControl1156654,NativeControl1156654,Field,0,DevExpress.ExpressApp.Win.Editors.GridListEditorNewItemRowHandlingMode.NativeControl
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/GridListEditorNewItemRowHandlingMode/XafController1156655,XafController1156655,Field,0,DevExpress.ExpressApp.Win.Editors.GridListEditorNewItemRowHandlingMode.XafController
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/WinColumnsListEditor/DragDropCustomCodeId1138180,DragDropCustomCodeId1138180,Field,0,DevExpress.ExpressApp.Win.Editors.WinColumnsListEditor.DragDropCustomCodeId
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/WinColumnsListEditor/DragEnterCustomCodeId1138181,DragEnterCustomCodeId1138181,Field,0,DevExpress.ExpressApp.Win.Editors.WinColumnsListEditor.DragEnterCustomCodeId
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/WinColumnsListEditor/PageRowCountForServerMode1138182,PageRowCountForServerMode1138182,Field,0,DevExpress.ExpressApp.Win.Editors.WinColumnsListEditor.PageRowCountForServerMode
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/WinColumnsListEditor/RestoreSelectedRowByHandle1138183,RestoreSelectedRowByHandle1138183,Field,0,DevExpress.ExpressApp.Win.Editors.WinColumnsListEditor.RestoreSelectedRowByHandle
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Editors/WinPropertyEditor/TextControlHeight1131151,TextControlHeight1131151,Field,0,DevExpress.ExpressApp.Win.Editors.WinPropertyEditor.TextControlHeight
data/raw_md/apidoc/DevExpress.ExpressApp.Win.Core/Messaging/AlwaysShowExtendedException1180398,AlwaysShowExtendedException1180398,Field,0,DevExpress.ExpressApp.Win.Core.Messaging.AlwaysShowExtendedException
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/AzureAdAuthenticationOptions/ClaimMappings,ClaimMappings,Field,0,DevExpress.ExpressApp.Win.ApplicationBuilder.AzureAdAuthenticationOptions.ClaimMappings
