section_id,doc_id,api_id,api_name,api_type,namespace
UsedProperties1132641::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/UsedProperties1132641,DevExpress.Persistent.Validation.IRule.UsedProperties,UsedProperties,property,DevExpress.Persistent.Validation.IRule
Validate1132638::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/Validate1132638,DevExpress.Persistent.Validation.IRule.Validate,Validate,class,DevExpress.Persistent.Validation.IRule
Validate1132638::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRule/Validate1132638,DevExpress.Persistent.Validation.RuleValidationResult,RuleValidationResult,property,DevExpress.Persistent.Validation
CustomMessageTemplate1132770::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/CustomMessageTemplate1132770,DevExpress.Persistent.Validation.IRuleBaseProperties.CustomMessageTemplate,CustomMessageTemplate,property,DevExpress.Persistent.Validation.IRuleBaseProperties
CustomMessageTemplate1132770::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/CustomMessageTemplate1132770,DevExpress.Persistent.Validation.RuleBaseAttribute.CustomMessageTemplate,CustomMessageTemplate,class,DevExpress.Persistent.Validation.RuleBaseAttribute
Id1132771::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/Id1132771,DevExpress.Persistent.Validation.IRuleBaseProperties.Id,Id,property,DevExpress.Persistent.Validation.IRuleBaseProperties
InvertResult1132772::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/InvertResult1132772,DevExpress.Persistent.Validation.IRuleBaseProperties.InvertResult,InvertResult,property,DevExpress.Persistent.Validation.IRuleBaseProperties
InvertResult1132772::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/InvertResult1132772,DevExpress.Persistent.Validation.RuleBaseAttribute.InvertResult,InvertResult,class,DevExpress.Persistent.Validation.RuleBaseAttribute
IRuleBaseProperties::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/IRuleBaseProperties,DevExpress.Persistent.Validation.IRuleBaseProperties._membersaltText,_membersaltText,class,DevExpress.Persistent.Validation.IRuleBaseProperties
IRuleBaseProperties::1,data/raw_md/apidoc/DevExpress.Persistent.Validation/IRuleBaseProperties/IRuleBaseProperties,DevExpress.Persistent.Validation.IRuleBaseProperties,IRuleBaseProperties,interface,DevExpress.Persistent.Validation
