doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/filtering/in-list-view/how-to-filter-large-list-views-using-the-auto-filter-row,how-to-filter-large-list-views-using-the-auto-filter-row::4,False,[],31,['Blazor' 'Criteria']
data/raw_md/articles/filtering/in-list-view/how-to-filter-large-list-views-using-the-auto-filter-row,how-to-filter-large-list-views-using-the-auto-filter-row::5,False,[],34,"['.NET Runtime' 'Blazor' 'Criteria' 'Filtering UI' 'List View'
 'View Types' 'Views' 'WinForms' 'Windows']"
data/raw_md/articles/filtering/in-list-view/how-to-filter-list-views-on-the-ui-specific-level,how-to-filter-list-views-on-the-ui-specific-level::4,False,[],36,"['.NET Runtime' 'Application Model' 'Blazor' 'Criteria' 'List Editors'
 'Model Editor' 'WinForms' 'Windows']"
data/raw_md/articles/filtering/in-list-view/how-to-implement-cascading-filtering-for-lookup-list-views,how-to-implement-cascading-filtering-for-lookup-list-views::2,False,[],30,"['Application Model' 'Collection Property' 'Criteria' 'Detail View'
 'List View' 'Lookup Property Editors' 'Lookup View'
 'Property Editor Types' 'Property Editors' 'Reference Property'
 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/how-to-implement-cascading-filtering-for-lookup-list-views,how-to-implement-cascading-filtering-for-lookup-list-views::13,False,[],22,"['Collection Property' 'Criteria' 'Detail View' 'List View' 'Lookup View'
 'Reference Property' 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/how-to-implement-cascading-filtering-for-lookup-list-views,how-to-implement-cascading-filtering-for-lookup-list-views::16,False,[],19,['Collection Property' 'Criteria' 'Reference Property']
data/raw_md/articles/filtering/in-list-view/how-to-implement-cascading-filtering-for-lookup-list-views,how-to-implement-cascading-filtering-for-lookup-list-views::19,False,[],22,"['Collection Property' 'Criteria' 'List View' 'Lookup View'
 'Reference Property' 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/how-to-implement-cascading-filtering-for-lookup-list-views,how-to-implement-cascading-filtering-for-lookup-list-views::21,False,[],24,"['.NET Runtime' 'Blazor' 'Built-in Criteria Operators' 'Business Logic'
 'Criteria' 'Detail View' 'List View' 'Lookup View' 'View Items'
 'View Types' 'Views' 'WinForms' 'Windows' 'XPO']"
data/raw_md/articles/filtering/in-list-view/how-to-implement-cascading-filtering-for-lookup-list-views,how-to-implement-cascading-filtering-for-lookup-list-views::22,False,[],21,"['Collection Property' 'Criteria' 'Detail View' 'Reference Property'
 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/how-to-implement-cascading-filtering-for-lookup-list-views,how-to-implement-cascading-filtering-for-lookup-list-views::26,False,[],34,"['Business Logic' 'Criteria' 'List View' 'Lookup View' 'View Types'
 'Views' 'XPO']"
data/raw_md/articles/filtering/in-list-view/how-to-make-the-full-text-search-action-search-within-required-properties,how-to-make-the-full-text-search-action-search-within-required-properties::2,False,[],22,"['Controller Lifecycle' 'Controller Types' 'Controllers' 'Criteria'
 'List View' 'View Controller' 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/how-to-use-function-criteria-operators-to-filter-list-views,how-to-use-function-criteria-operators-to-filter-list-views::1,False,[],7,"['Application Model' 'Built-in Criteria Operators' 'Criteria' 'List View'
 'Model Editor' 'View Types' 'Views']"
data/raw_md/articles/filtering/in-list-view/ways-to-build-criteria,ways-to-build-criteria::1,False,[],12,['Criteria']
data/raw_md/articles/filtering/in-list-view/ways-to-build-criteria,ways-to-build-criteria::2,False,[],11,['Criteria' 'XAF Application']
data/raw_md/articles/filtering/in-list-view/ways-to-build-criteria,ways-to-build-criteria::3,False,[],35,['Criteria' 'XPO']
data/raw_md/articles/filtering/in-list-view/ways-to-build-criteria,ways-to-build-criteria::4,False,[],13,['Criteria']
data/raw_md/articles/filtering/in-list-view/ways-to-build-criteria,ways-to-build-criteria::5,False,[],22,['Criteria' 'XPO']
data/raw_md/articles/filtering/in-list-view/ways-to-build-criteria,ways-to-build-criteria::6,False,[],9,['Application Model' 'Criteria' 'Model Editor']
data/raw_md/articles/filtering/in-list-view/ways-to-build-criteria,ways-to-build-criteria::7,False,[],4,['Application Model' 'Criteria' 'Model Editor']
