uid,title,path,article_type,word_count,num_actual_useful_apis,num_high_priority,num_medium_priority,realistic_score,base_score,ticket_weight,primary_ticket_category,ticket_count,has_code_blocks
112571,Built-in Business Classes & Interfaces,data\raw_md\articles\business-model-design-orm\built-in-business-classes-and-interfaces.md,general,279,5,1,2,25.931772678268906,25.0,1.0372709071307562,Built-in Permissions Setup/Troubleshooting,449,True
403719,Change the Entity Data Model Structure Exposed in OData,data\raw_md\articles\backend-web-api-service\use-odata-to-send-requests\customize-odata-options.md,general,685,3,2,0,25.770060064685048,23.0,1.1204373941167411,Custom logic within View or Controller,485,True
403982,Obtain Localization Strings from a Web API Controller Endpoint,data\raw_md\articles\backend-web-api-service\access-localization-from-web-api-controller.md,general,358,3,1,2,25.770060064685048,23.0,1.1204373941167411,Custom logic within View or Controller,485,True
112839,Display a Tree List using the HCategory Class,data\raw_md\articles\app-shell-and-base-infrastructure\tree-list-editors\display-a-tree-list-using-the-category-class.md,general,370,5,0,3,25.59679655013091,20.0,1.2798398275065455,Grid List Editors,554,True
112913,How to: Limit the Amount of Objects Created using the New Action,data\raw_md\articles\ui-construction\controllers-and-actions\actions\how-to-limit-the-amount-of-objects-created-using-the-new-action.md,how_to,156,5,1,1,25.59679655013091,20.0,1.2798398275065455,Grid List Editors,554,True
404164,XAF0027: Do not apply DomainComponentAttribute to the XPO business class,data\raw_md\articles\debugging-testing-and-error-handling\code-diagnostics\xaf0027.md,diagnostic,19,5,2,0,25.0,25.0,1.0,,0,True
403572,Add the XPO Middle Tier Server to an Existing WinForms Application (.NET),data\raw_md\articles\data-security-and-safety\security-system\security-tiers\middle-tier-security-xpo\add-middle-tier-to-existing-app.md,general,305,4,2,0,24.89450177113815,24.0,1.0372709071307562,Built-in Permissions Setup/Troubleshooting,449,True
404389,Middle Tier Security with EF Core,data\raw_md\articles\data-security-and-safety\security-system\security-tiers\middle-tier-security-ef-core.md,general,709,4,1,2,24.89450177113815,24.0,1.0372709071307562,Built-in Permissions Setup/Troubleshooting,449,True
113529,String Properties in XPO,data\raw_md\articles\business-model-design-orm\data-types-supported-by-built-in-editors\string-properties\string-properties-in-xpo.md,general,30,4,0,2,24.74202987833051,14.0,1.7672878484521792,Built-in View Items & Editors,765,True
404100,XAF0019: Apply ExplicitLoadingAttribute only to reference properties,data\raw_md\articles\debugging-testing-and-error-handling\code-diagnostics\xaf0019.md,diagnostic,39,4,1,3,24.654243030956415,29.0,0.8501463114122901,Lookups,368,True
113239,Production Database and Application Updates,data\raw_md\articles\deployment\production-database-and-application-updates.md,general,990,6,2,0,24.386262128446017,26.0,0.9379331587863853,Creating & Showing Views,406,True
112617,Access the Navigation Control,data\raw_md\articles\app-shell-and-base-infrastructure\navigation\access-navigation-control.md,general,173,4,1,1,24.316956722624365,19.0,1.2798398275065455,Grid List Editors,554,True
404201,Assign a Standard Image,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\customize-data-display-and-view-layout\assign-a-standard-image.md,tutorial,281,2,0,2,24.09055906360696,12.0,2.007546588633913,Custom View Items & Editors,869,False
403731,Customize ShowViewParameters for Built-in Simple Actions,data\raw_md\articles\ui-construction\controllers-and-actions\built-in-controllers-and-actions\customize-a-view-created-by-built-in-actions.md,general,50,2,1,0,24.09055906360696,12.0,2.007546588633913,Custom View Items & Editors,869,True
403446,WinForms Application Templates,data\raw_md\articles\ui-construction\templates\winforms-application-templates.md,general,292,2,0,2,24.09055906360696,12.0,2.007546588633913,Custom View Items & Editors,869,False
112792,Add and Replace Icons,data\raw_md\articles\app-shell-and-base-infrastructure\icons\add-and-replace-icons.md,general,1486,7,0,1,24.09055906360696,12.0,2.007546588633913,Custom View Items & Editors,869,True
112841,Tree List Editors (Organize Hierarchical Data),data\raw_md\articles\app-shell-and-base-infrastructure\tree-list-editors-module.md,general,165,4,0,4,24.0,24.0,1.0,,0,False
,Create a Combined XAF Web and Desktop Application,data\raw_md\articles\getting-started\basic-tutorial-blazor\create-an-xaf-application-blazor.md,tutorial,401,4,1,2,24.0,24.0,1.0,,0,True
113355,Workflow Activities,data\raw_md\articles\business-process-management\workflow\workflow-activities.md,general,736,8,0,5,23.09949176035731,33.0,0.6999845987987063,EF Core Specifics,303,False
402980,Implement Property Value Validation,data\raw_md\articles\getting-started\in-depth-tutorial-blazor\enable-additional-modules\implement-property-value-validation.md,tutorial,380,3,1,1,23.03711689511782,18.0,1.2798398275065455,Grid List Editors,554,True
