doc_id,keywords,keyword_count,has_deployment_tag,current_concepts,namespaces,apis
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy.EFCore/IMultiTenancyApplicationBuilder/WithTenantResolver``1,applicationbuilder,1,False,"Authentication, Tenant",,"DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilder.WithTenantResolver, EFCore"
data/raw_md/apidoc/DevExpress.ExpressApp.MultiTenancy/IConnectionStringProvider/IConnectionStringProvider,connectionstring,1,False,"Database Connection, Tenant",,"DevExpress.ExpressApp.MultiTenancy.IConnectionStringProvider._membersaltText, DevExpress.ExpressApp.MultiTenancy.IConnectionStringProvidername"
data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor/StartupExtensions/AddXafDashboards,startup,1,False,".NET Runtime, Actions, Blazor UI, Dashboards, Database Connection",,"DevExpress.ExpressApp.Dashboards.Blazor.Services.BlazorDashboardConfigurator, DevExpress.ExpressApp.Dashboards.Blazor.StartupExtensions.AddXafDashboards"
data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor/StartupExtensions/AddXafDashboards,startup,1,False,"Blazor UI, Dashboards",,DevExpress.ExpressApp.Dashboards.Blazor
data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor/StartupExtensions/MapXafDashboards,startup,1,False,".NET Runtime, Blazor UI, Controllers, Dashboards",,DevExpress.ExpressApp.Dashboards.Blazor.StartupExtensions.MapXafDashboards
data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor/StartupExtensions/MapXafDashboards,startup,1,False,"Blazor UI, Dashboards",,DevExpress.ExpressApp.Dashboards.Blazor
data/raw_md/apidoc/DevExpress.ExpressApp.Dashboards.Blazor/StartupExtensions/StartupExtensions,startup,1,False,".NET Runtime, Blazor UI, Dashboards",,"DevExpress.ExpressApp.Dashboards.Blazor.StartupExtensions._membersaltText, DevExpress.ExpressApp.Dashboards.Blazor.StartupExtensionsname"
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.ApplicationBuilder/AuditTrailXpoApplicationBuilderExtensions/AddAuditTrailXpo``1,applicationbuilder,1,False,"Audit Trail, Blazor UI, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Blazor.ApplicationBuilder.AuditTrailXpoApplicationBuilderExtensions.AddAuditTrailXpo0, DevExpress.ExpressApp.Blazor.ApplicationBuilder.IBlazorApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.ApplicationBuilder/AuditTrailXpoApplicationBuilderExtensions/AddAuditTrailXpo``1_1,applicationbuilder,1,False,"Actions, Blazor UI",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.AuditTrail.AuditTrailOptions, DevExpress.ExpressApp.Blazor.ApplicationBuilder.AuditTrailXpoApplicationBuilderExtensions.AddAuditTrailXpo0"
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.ApplicationBuilder/DashboardsApplicationBuilderExtensions/AddDashboards,applicationbuilder,1,False,"Actions, Blazor UI, Dashboards",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Blazor.ApplicationBuilder.DashboardsApplicationBuilderExtensions.AddDashboards, DevExpress.ExpressApp.Blazor.ApplicationBuilder.IBlazorApplicationBuilder"
